# Use of Kanji 101-110;;
* Kanji;Kana;Translation;?Example

多い;おおい;a lot of;東京は車が多いです。
少し;すこし;a little;少し＋[verb];少しビールを飲みました。 /  少し＋[adj.];このシャツは少し大きいです。
少ない;すくない;not many/much;私の家の近くは店が少ないです。
古い;ふるい;old;この電話は古いです
新しい;あたらしい;new;先月デパートで新しいバッグを買いました。
新聞;しんぶん;newspaper;これは日本語の新聞です。
広い;ひろい;spacious / wide;私の家はとても広いです。 / ;学校の前の道(みち)は広いです。
安い;やすい;inexpensive;この車は安いです。
立ちます;たちます;stand;男の人がコンビニの前に立っています
知ります;しります;know;あの女の人を知っていますか。
言います;いいます;say / tell;山(やま)中(なか)さんは明日会社に来ると言いました。 / じゃ、大(おお)川(かわ)さんに言います。
言葉;ことば;word, language;その言葉(ば)を知っていますか。
思います;おもいます;think;日本の食べものはおいしいと思います。
