# JLPT N5 な-Adjectives;;
* な形容詞;な-adjective;?Romanji;Meaning
便利;べんり;benri;convenient, handy, useful
大丈夫;だいじょうぶ;daijoubu;OK, okay, alright, problem free
大好き;だいすき;daisuki;love, like, like very much
元気;げんき;genki;lively, full of spirit, energetic, healthy
下手;へた;heta;unskillful, poor, awkward
暇;ひま;hima;free time
本当;ほんとう;hontou;truth, reality, actuality, fact
色々;いろいろ;iroiro;various
嫌;いや;iya;unpleasant
丈夫;じょうぶ;joubu;strong, durable
上手;じょうず;jouzu;skillful, skilled, proficient, good (at)
結構;けっこう;kekkou;splendid, enough
嫌い;きらい;kirai;hate
綺麗;きれい;kirei;pretty, lovely, beautiful
真っ直ぐ;まっすぐ;massugu;straight ahead,direct
賑やか;にぎやか;nigiyaka;bustling,busy
立派;りっぱ;rippa;splendid
静か;しずか;shizuka;quiet
好き;すき;suki;like
多分;たぶん;tabun;perhaps, probably
大変;たいへん;taihen;very, greatly, terribly, serious, difficult
大切;たいせつ;taisetsu;important, necessary, indispensable, beloved
沢山;たくさん;takusan;many
有名;ゆうめい;yuumei;famous
