# ア - Katakana 2;;
* Kana;Romanji;?Pronunciation
キャ;kya;kʲa
キュ;kyu;kʲɯ
キョ;kyo;kʲo
シャ;sha;ɕa
シュ;shu;ɕɯ
ショ;sho;ɕo
チャ;cha;t͡ɕa
チュ;chu;t͡ɕɯ
チョ;cho;t͡ɕo
ニャ;nya;ɲa
ニュ;nyu;ɲɯ
ニョ;nyo;ɲo
ヒャ;hya;ça
ヒュ;hyu;çɯ
ヒョ;hyo;ço
ミャ;mya;mʲa
ミュ;myu;mʲɯ
ミョ;myo;mʲo
リャ;rya;ɾʲa
リュ;ryu;ɾʲɯ
リョ;ryo;ɾʲo
ガ;ga;ɡa
ギ;gi;ɡi
グ;gu;ɡɯ
ゲ;ge;ɡe
ゴ;go;ɡo
ギャ;gya;ɡʲa
ギュ;gyu;ɡʲɯ
ギョ;gyo;ɡʲo
ザ;za;za
ジ;ji;(d)ʑi
ズ;zu;(d)zɯ
ゼ;ze;ze
ゾ;zo;zo
ジャ;ja;(d)ʑa
ジュ;ju;(d)ʑɯ
ジョ;jo;(d)ʑo
ダ;da;da
ヂ;ji;(d)ʑi
ヅ;zu;(d)zɯ
デ;de;de
ド;do;do
ヂャ;ja;(d)ʑa
ヂュ;ju;(d)ʑɯ
ヂョ;jo;(d)ʑo
バ;ba;ba
ビ;bi;bi
ブ;bu;bɯ
ベ;be;be
ボ;bo;bo
ビャ;bya;bʲa
ビュ;byu;bʲɯ
ビョ;byo;bʲo
パ;pa;pa
ピ;pi;pi
プ;pu;pɯ
ペ;pe;pe
ポ;po;po
ピャ;pya;pʲa
ピュ;pyu;pʲɯ
ピョ;pyo;pʲo
