# 00 - Vocabulary;;
* Kanji;Kana;Meaning

# 1
返す;かえす;возвращать, отдавать
掃除;そうじ;уборка
泣く;なく;плакать
卒業;そつぎょう;окончание （вуза,школы）
歯を磨く;はをみがく;чистить зубы

# 2
連れていく;つれていく;брать с собой кого-либо
連れてくる;つれてくる;приводить с собой кого-л
座る;すわる;садиться
内容;ないよう;содержание
留守;るす;отсутствие
不便な;ふべんな;неудобный
大使館;たいしかん;посольство
体育;たいいく;физкультура

# 3
引っ越す;ひっこす;переезжать
いつか;;когда-нибудь
携帯電話;けいたいでんわ;мобильный телефон
怒る;おこる;сердиться, злиться
相談;そうだん;совет
準備;じゅんび;подготовка

# 4
講義;こうぎ;лекция
計画;けいかく;план, проект
成功;せいこう;успех
遅れる;おくれる;опаздывать

# 5
文字;もじ;буква, алфавит, иероглиф
滑る;すべる;скользить, быть скользким
割れる;われる;разбиться, сломаться
登る;のぼる;подняться, забраться
中華料理;ちゅうかりょうり;китайская кухня
教授;きょうじゅ;профессор
社長;しゃちょう;начальник, директор компании
助ける;たすける;помогать
寄付;きふ;пожертвование, взнос
面倒;めんどう;беспокойство, хлопоты,　забота
お城;おしろ;замок, крепость
案内;あんない;руководство, экскурсия

# 6
写真を撮る;しゃしんをとる;фотографировать
難しい;むずかしい;сложный, трудный
直す;なおす;исправлять, чинить
被害;ひがい;ущерб
消す;けす;стирать, выключать
連絡;れんらく;связь, сообщение, контакт
連絡をする;れんらくをする;поддерживать связь, связываться
連絡を取る;れんらくをとる;поддерживать связь, связываться

# 7
たまに;;изредка, редко
夜中（に）;よなか（に）;ночь, посреди ночи
美術館;びじゅつかん;музей, галерея
試験;しけん;экзамен
台湾;タイワン;Тайвань
できるだけ;;по возможности, насколько возможно
参加;さんか;участие
入院;にゅういん;госпитализация
立派な;りっぱな;прекрасный, превосходный
辞める;やめる;закончить работу, уволиться
記者;きしゃ;журналист
記者会見;きしゃかいけん;пресс-конференция
にがい;;горький
正直;しょうじき;правда

# 8
お風呂;おふろ;ванна, ванная
品質;ひんしつ;качество
かならず;;обязательно
声をかける;こえをかける;заговаривать, звать
黙る;だまる;замолчать
気に入る;きにいる;нравиться
会う;あう;встретить, встречать
合う;あう;подходить
全部;ぜんぶ;весь, полностью
要らない物;いらないもの;ненужные вещи
戦争;せんそう;война
寝坊する;ねぼうする;долго спать, проспать
落とす;おとす;ронять, выронить, обронить
壊す;こわす;ломать, сломать

# 9
成績;せいせき;успеваемость, успехи
鋭い;するどい;острый, резкий, проницательный
指;ゆび;палец
時間通りに;じかんどおりに;по времени, вовремя
失礼;しつれい;невежливость, грубость
海外旅行;かいがいりょこう;путешествие заграницу
事務所;じむしょ;офис

# 11
眩しい;まぶしい;яркий, ослепительный
転勤;てんきん;перевод, перемещение по службе
遅刻;ちこく;опоздание
熱;ねつ;жар, температура
急速;きゅうそくな;быстрый, скорый, срочный
失敗;しっぱい;неудача, провал
読める;よめる;мочь прочитать
はっきり;;ясно, отчетливо, точно
時刻表;じこくひょう;расписание
休憩;きゅうけい;перемена, отдых, перерыв
我慢;がまん;терпение
以前;いぜん;прежнее время
増える;ふえる;увеличиться, вырасти
大分;だいぶ;довольно, значительно
上達;じょうたつ;прогресс, успехи
観光客;かんこうきゃく;турист

# 13
穏やか（な）;おだやか（な）;спокойный, мягкий
郵便物;ゆうびんぶつ;посылка, отправление
合格する;ごうかくする;выдержать экзамен
人手不足;ひとでぶそく;нехватка рабочих рук
辛い時代;からいじだい;трудные времена
締める;しめる;завязывать, застегивать
安全;あんぜん;безопасность
迷惑をかける;めいわくをかける;причинять неудобства
運動;うんどう;зарядка

# 14
大きい文字で;おおきいもじで;крупными буквами
試験に合格する;しけんにごうかくする;сдать экзамен
面接;めんせつ;собеседование, интервью
迷惑;めいわく;беспокойство
出席;しゅっせき;присутствие
欠席;けっせき;отсутствие
未読;みどく;еûе не прочитанное что-либо
弁当;べんとう;обед в упаковке/коробке
心配;しんぱい;волнение, беспокойство
予定;よてい;план
何度も;なんども;многократно
変更;へんこう;изменение, перемена

# 15
磨く;みがく;полировать, шлифовать, чистить
蝋燭;ろうそく;свеча
資料;しりょう;материалы
家賃;やちん;арендная плата
片づける;かたづける;прибрать, привести в порядок
予約;よやく;заказ, бронь
危険;きけん;опасность, риск
避ける;さける;избежать
会議;かいぎ;конференøия, совеûание
案内所;あんないじょ;справочное бюро
教科書;きょうかしょ;учебник
恋人;こいびと;любимый человек
間違い;まちがい;ошибка
締め切り;しめきり;дедлайн, срок (сдачи)
諦める;あきらめる;примириться, сдаться
貯金;ちょきん;сбережение

# 16
論文;ろんぶん;научная статья
鹿;しか;олень
翻訳;ほんやく;письменный перевод
丈夫な;じょうぶな;прочный
物価;ぶっか;стоимость, цена
忙しい;いそがしい;занятый
地震;じしん;землетрясение
意地悪;いじわる;злой, вредный
必要;ひつよう;необходимость

# 17
金持ち;かねもち;богатый человек, богач
部長;ぶちょう;начальник отдела
警察;けいさつ;полиция
一口;ひとくち;один кусочек, один глоток
優勝;ゆうしょう;победа
事故;じこ;авария, несчастный случай
発表;はっぴょう;доклад, отчет
眠る;ねむる;спать, уснуть
配る;くばる;раздать, распределить
足りる;たりる;быть достаточным
怪我;けが;травма, рана
大勢;おおぜい;много (людей)
救急車;きゅうきゅうしゃ;машина скорой помощи
合格;ごうかく;сдать экзамен
燃える;もえる;гореть
自然;しぜん;природа

# 18
押す;おす;давить, толкать, нажать
出発;しゅっぱつ;отправление, отъезд, выезд
結婚;けっこん;свадьба
離婚;りこん;развод
健康;けんこう;здоровье
健康にいい;けんこうにいい;полезный для здоровья

# 19
抜く;ぬく;вытащить, выдернуть
教える;おしえる;обучать, рассказывать
取る;とる;брать
取れる;とれる;мочь взять, оторваться
冷蔵庫;れいぞうこ;холодильник
癖;くせ;привычка
目標;もくひょう;цель
達成;たっせい;достижение
繰り返す;くりかえす;повторять
嘘;うそ;ложь
食欲;しょくよく;аппетит

# 20
褒める;ほめる;Хвалить
叱る;しかる;Ругать
誘う;さそう;Приглашать, звать
注意する;ちゅういする;Предупреждать
頼む;たのむ;Просить
踏む;ふむ;Наступать на что-то ногой

#21
悪口;わるぐち;ругательство, ругань
盗む;ぬすむ;красть, воровать
輸出;ゆしゅつ;экспорт
輸入;ゆにゅう;импорт
汚す;よごす;пачкать, запачкать
噛む;かむ;кусать, грызть, жевать
出張;しゅっちょう;командировка
着く;つく;приехать, прибыть
忘れる;わすれる;забыть, забывать
乗り遅れる;のりおくれる;опоздать на ～
やっと;;наконец, с трудом, еле-еле

#22
発展する;はってんする;развиваться
悪化する;あっかする;ухудшаться
隣人;りんじん;сосед
意見;いけん;мнение
調子;ちょうし;состояние, настроение
調子がわるい;ちょうしがわるい;нездоровиться
後悔;こうかい;сожаление, печаль
なるべく;;по возможности

#23
現状;げんじょう;современное состояние, обстоятельства
景色;けしき;пейзаж
祖父;そふ;дедушка
祖母;そぼ;бабушка
電子レンジ;でんしレンジ;микроволновая печь
時間がたつ;じかんがたつ;время идет
借金;しゃっきん;кредит, долг
召し上がる;めしあがる;угощаться

#24
退学;たいがく;уход, исключение из школы
上司;じょうし;начальник
部下;ぶか;подчиненный
辞職;じしょく;отставка, увольнение
落ち込む;おちこむ;расстроиться
期末;きまつ;конец семестра

#25
寂しい;さびしい;грустный, одинокий
人形;にんぎょう;кукла
太陽;たいよう;солнце
輝く;かがやく;сиять, сверкать
ペラペラ;;свободно говорить
人間;にんげん;человек


