# Глаголы-исключения 1-го спряжения;
* Kanji;Kana;?Translation;Meaning

嘲る;あざける;azakeru;насмехаться
焦る;あせる;aseru;нервничать, торопиться
弄る;いじる;ijiru;вертеть в руках
入る;いる;iru;входить
要る;いる;iru;требоваться, быть нужным
限る;かぎる;kagiru;ограничивать, положить предел
齧る;かじる;kajiru;грызть, перегрызать
帰る;かえる;kaeru;возвращаться, вернуться
切る;きる;kiru;резать, отрезать
軋る;きしる;kishiru;скрипеть
蹴る;ける;keru;пнуть, лягнуть
混じる;まじる;majiru;быть смешанным
参る;まいる;mairu;идти (скромно, о себе)
;むしる;mushiru;срывать, вырывать
詰る;なじる;najiru;упрекать
握る;にぎる;nigiru;взять в руку, держать, сжать
罵る;ののしる;nonoshiru;обругать, выругать
練る;ねる;neru;отшлифовать, месить, обдумать
茂る;しげる;shigeru;густо расти, погустеть
湿る;しめる;shimeru;отсыреть
知る;しる;shiru;знать
誹る;そしる;soshiru;опорочить, оклеветать
滑る;すべる;suberu;скользить, быть скользким
喋る;しゃべる;shaberu;говорить, болтать
散る;ちる;chiru;рассыпаться, осыпаться
照る;てる;teru;светить, сиять
入いる;はいる;hairu;входить
走る;はしる;hashiru;бегать
;ひねる;hineru;крутить, закрутить
減る;へる;heru;уменьшаться, износиться
;ふける;fukeru;погружаться, уйти с головой
