# School Lession 16;;
* Kanji;Kana;Meaning


以前;いぜん;ранее, до, прежде
前もって;まえもって;заранее
人前（で）;ひとまえ（で）;публично, перед людьми/публикой
二人前;ににんまえ、ふたりまえ;на двоих человек
以後;いご;отныне, после этого, в будущем
前後;ぜんご;раньше и позже, до и после, впереди и позади
明後日;みょうごにち;послезавтра
その後;そのご;после этого
北方;ほっぽう;север, северный
北風;ほくふう、きたかぜ;северный ветер
東北;とうほく;регион Тохоку (Япония)
北東;ほくとう;Северо-восток
西南;せいなん;юго-запад
東南アジア;とうなんアジア;Юго-Восточная Азия
南北;なんぼく;Юг и Север
南口;みなみぐち;южный выход
西方;せいほう;запад, западный
東西;とうざい;Восток и Запад
西風;せいふう、にしかぜ;западный ветер
東方;とうほう;восток, восточный
中東;ちゅうとう;Средний Восток
東大;とうだい;（東京大学、とうきょうだいがく）Токийский университет (сокращенное название от То:кё: дайгаку)
東アジア;ひがしアジア;Восточная Азия
男子;だんし;мальчик, юноша, мужчина
男の子;おとこのこ;мальчик
女子;じょし;девушка, женщина
女の子;おんなのこ;девочка
分子;ぶんし;молекула
大学;だいがく;университет
学部;がくぶ;факультет
入学;にゅうがく;поступление в школу/вуз
学生;がくせい;студент
語学;ごがく;лингвистика
高原;こうげん;плато, плоскогорье
高校;こうこう;старшая школа
名高い;なだかい;известный, знаменитый
